[LOG] System::create                           : Header version = 2.00.06. Current version = 2.00.06.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20006 (106220), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=192000, nAvgBytesPerSec=1536000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 16384 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[WRN] SystemI::init                            : Output requires a sample rate of 192000Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000010D663BCEE8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] SoundI::release                          :  (0000010DB5A55BE8)
[LOG] SoundI::release                          :     E1_Twincle (0000010DBEB368B8)
[LOG] SoundI::release                          :  (0000010D668FA738)
[LOG] SoundI::release                          :     GasRockMoving (0000010DBEB34EB8)
[LOG] SoundI::release                          :  (0000010D8D8F17A8)
[LOG] SoundI::release                          :     Button (0000010D32C245F8)
[LOG] SoundI::release                          :  (0000010D8D8F1078)
[LOG] SoundI::release                          :     GasRock (0000010D32C24798)
[LOG] SoundI::release                          :  (0000010D8D8F1BF8)
[LOG] SoundI::release                          :     Damage (0000010D32C24938)
[LOG] SoundI::release                          :  (0000010DAD1F8578)
[LOG] SoundI::release                          :     Audio_8 (0000010DBEB35D58)
[LOG] SoundI::release                          :  (0000010DBE815218)
[LOG] SoundI::release                          :     Yell (0000010DBEB36098)
[LOG] SoundI::release                          :  (0000010DB5A55D58)
[LOG] SoundI::release                          :     AbsorbableSmall (0000010DBEB36578)
[LOG] SoundI::release                          :  (0000010D887CDB08)
[LOG] SoundI::release                          :     Audio_2 (0000010D13F4A328)
[LOG] SoundI::release                          :  (0000010DAD1F7CD8)
[LOG] SoundI::release                          :     Audio_13 (0000010DBEB38C78)
[LOG] SoundI::release                          :  (0000010D8D8F0F08)
[LOG] SoundI::release                          :     Asphyxiation (0000010D32C24AD8)
[LOG] SoundI::release                          :  (0000010D887CF098)
[LOG] SoundI::release                          :     Audio_19 (0000010D13F4B028)
[LOG] SoundI::release                          :  (0000010DB5CFE288)
[LOG] SoundI::release                          :     Wander (0000010D32993F78)
[LOG] SoundI::release                          :  (0000010DBE8150A8)
[LOG] SoundI::release                          :     Attack (0000010D32C242B8)
[LOG] SoundI::release                          :  (0000010D668FA2E8)
